hhmass   obsLimit        exp95lo         exp68lo         expLimit        exp68hi         exp95hi
170	1.2165	1.0046	1.3362	1.8516	2.5718	3.4170	
180	1.8943	0.9622	1.2798	1.7734	2.4633	3.2728	
190	1.8726	1.0851	1.4434	2.0000	2.7780	3.6909	
200	2.0669	1.0809	1.4377	1.9922	2.7672	3.6765	
250	1.7062	0.9367	1.2460	1.7266	2.3982	3.1863	
300	0.8515	0.7185	0.9557	1.3242	1.8393	2.4438	
350	0.6446	0.5722	0.7611	1.0547	1.4650	1.9464	
400	0.9479	0.5447	0.7245	1.0039	1.3944	1.8527	
450	2.2793	0.7460	0.9923	1.3750	1.9099	2.5375	
500	3.0283	1.1275	1.4997	2.0781	2.8865	3.8351	
550	3.9640	1.6107	2.1425	2.9688	4.1236	5.4787	
600	5.1353	2.1872	2.9093	4.0312	5.5994	7.4396	
	
