hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.839601 1.84988 1.12127 3.17642 0.735455 4.40527
180 0.431129 1.18201 0.684165 1.74433 0.46951 2.34257
200 2.10469 1.41009 0.807409 2.04759 0.543742 2.65872
250 0.743392 1.4624 0.832627 2.19035 0.562257 2.81239
300 0.86491 1.14623 0.685412 1.80029 0.461971 2.54498
350 1.59563 0.966536 0.556299 1.47869 0.369399 1.98513
400 2.09403 0.931702 0.558947 1.38462 0.408907 1.95619
450 3.01864 1.09993 0.669512 1.7761 0.489056 2.35095
500 5.45674 1.95848 1.23777 3.10956 0.853739 4.15341
550 5.4736 2.1301 1.32474 3.14673 0.868502 4.63786
600 6.46446 3.09411 1.83498 4.59795 1.29904 6.38169
