hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 0.800793 1.37589 0.808597 2.12411 0.547594 2.80991
180 0.434774 0.809665 0.506113 1.21566 0.337455 1.64692
200 1.20914 0.835441 0.517488 1.27964 0.322146 1.63157
250 0.401303 0.81743 0.539403 1.30524 0.395311 1.65783
300 0.434369 0.884891 0.494916 1.26633 0.317104 1.73998
350 1.03931 0.734139 0.430268 1.14247 0.303406 1.43325
400 1.56251 0.746425 0.472814 1.1859 0.319878 1.59903
450 2.8164 0.903069 0.601185 1.42372 0.410725 1.97701
500 5.43187 1.78455 1.09707 2.72598 0.65197 3.88899
550 5.51974 1.78549 1.10551 2.92302 0.774048 3.76971
600 6.73201 2.63043 1.67494 4.30455 1.16827 5.98685
