hmass obsLimit expLimit exp68lo exp68hi exp95lo exp95hi
160 3.98075 3.71578 2.25597 5.79655 1.35201 7.95301
180 2.27875 2.06505 1.2005 3.13357 0.787593 4.30886
200 2.08845 1.90722 1.17509 3.00949 0.692629 4.11664
250 1.80458 2.30123 1.37896 3.5951 0.854538 5.00829
300 1.756 2.41679 1.47212 3.81754 0.890426 5.20786
350 1.76488 1.83916 1.06128 2.76776 0.667731 3.96275
400 2.15731 2.05418 1.24492 3.1198 0.7289 4.34342
450 3.94639 2.18213 1.36217 3.42369 0.876554 4.81754
500 8.20954 4.02408 2.48047 6.4023 1.58043 8.6375
550 9.06109 4.63845 2.93401 7.25729 1.93478 9.9919
600 14.0241 7.6741 4.84457 12.0342 3.1927 16.5832
