hmass	obsLimit	expLimit	exp68lo 	exp68hi 	exp95lo 	exp95hi
160 	2.02921	1.68573 	1.06866 	2.67923 	0.723251 	3.48203
180 	1.25907	0.983442 	0.623496 	1.55909 	0.421759 	2.039
200 	1.08614	0.868561 	0.555543 	1.38312 	0.375091 	1.79895
250 	0.562736	0.944932 	0.597298 	1.5 	0.405209 	1.96661
300 	0.531055	1.02349 	0.64574 	1.62071 	0.436004 	2.1343
350 	0.868788	0.879181 	0.562815 	1.3965 	0.379769 	1.82784
400 	1.21445	1.04817 	0.664351 	1.68695 	0.449174 	2.20103
450 	3.14351	1.32865 	0.867984 	2.13141 	0.58585 	2.83554
500 	6.8956	2.62153 	1.70984 	4.20618 	1.15692 	5.59922
550 	7.63818	3.05645 	1.99288 	4.93576 	1.3474 	6.58098
600 	11.6051	5.09668 	3.284 	8.15996 	2.23187 	10.8397
