hmass	obsLimit	expLimit	exp68lo 	exp68hi 	exp95lo 	exp95hi
160 	2.73779	2.38461 	1.32991 	3.57371 	0.869175 	4.75954
180 	0.952945	0.692785 	0.43143 	1.07873 	0.300862 	1.4546
200 	1.12256	0.819698 	0.499009 	1.31897 	0.335317 	1.76009
250 	0.598529	0.896442 	0.54505 	1.41282 	0.374837 	2.00826
300 	0.750311	0.80721 	0.506307 	1.3076 	0.336772 	1.71992
350 	0.48534	0.730581 	0.434384 	1.10749 	0.290531 	1.55667
400 	1.08661	0.68604 	0.434043 	1.10977 	0.315603 	1.42191
450 	2.20717	0.909766 	0.549959 	1.44647 	0.383176 	2.00122
500 	4.21884	1.66386 	1.02189 	2.59075 	0.691658 	3.22911
550 	4.7388	1.66253 	1.07208 	2.62278 	0.67217 	3.53112
600 	7.7312	2.29784 	1.47582 	3.6802 	0.946111 	4.91887
