hmass	obsLimit	expLimit	exp68lo 	exp68hi 	exp95lo 	exp95hi
160 	2.46428		1.54085 	0.935917 	2.33818 	0.623826 	3.2879
170 	2.16737		1.27678 	0.773046 	1.95358 	0.523382 	2.85598
180 	1.68578		1.1688 		0.703817 	1.88513 	0.476406 	3.72539
190 	1.61267		1.43174 	0.849051 	2.19761 	0.578979 	4.26446
200 	2.96432		1.41041 	0.854685 	2.15266 	0.581289 	3.97636
250 	0.669501	1.29697 	0.807374 	2.07478 	0.527867 	3.956
300 	0.733994	1.19713 	0.715836 	1.85431 	0.478714 	3.58525
350 	0.653496	0.910189 	0.557083 	1.40825 	0.371123 	2.02636
400 	0.887009	0.928466 	0.580795 	1.39152 	0.396246 	1.84644
450 	1.36738		1.21707 	0.741995 	1.84034 	0.501672 	2.40272
500 	2.21177		1.65381 	0.997466 	2.4662 		0.679829 	3.34903
550 	3.55195		2.24014 	1.39139 	3.35926 	0.960575 	4.57805
600 	5.20548		3.24189 	1.9512	 	4.79504 	1.296 		6.3708
