hmass	obsLimit	expLimit	exp68lo 	exp68hi 	exp95lo 	exp95hi
160 	6.30898		2.81947 	1.687 		4.45064 	0.930322 	6.39698
170 	5.43619		2.08261 	1.24215 	3.34909 	0.648681 	4.73363
180 	4.84176		2.07708 	1.27369 	3.36564 	0.797257 	5.01854
190 	5.06606		3.06392 	1.86887 	4.88679 	1.25136 	7.06659
200 	4.52813		3.56404 	2.2258 		5.79805 	1.42484 	8.7202
250 	2.04065		3.0379	 	1.80628 	4.76603 	1.08215 	7.04323
300 	3.28106		2.21542 	1.27077 	3.63096 	0.874557 	5.10742
350 	1.54943		1.54322 	0.862707 	2.35648 	0.552809 	3.31092
400 	1.60203		1.3361	 	0.763259 	2.09474 	0.50037 	3.00507
450 	2.69759		1.64937 	0.94978 	2.66047 	0.596921 	3.75603
500 	3.56428		2.29909 	1.40218 	3.46117 	0.94805 	5.04978
550 	4.82515		3.0852	 	1.901 		4.81262 	1.24819 	7.04134
600 	7.28089		4.35814 	2.50405 	6.69281 	1.63628 	9.68068
