hmass	obsLimit	expLimit	exp68lo 	exp68hi 	exp95lo 	exp95hi
160 	4.37566		4.37737 	2.45832 	6.76126 	1.66888 	9.97757
170 	3.88784		3.54982 	2.00583 	5.53448 	1.36329 	8.02382
180 	4.06297		2.92843 	1.77109 	4.72059 	1.14386 	6.72995
190 	5.19318		3.7537 		2.13075 	5.72469 	1.51579 	8.19681
200 	5.49785		5.0829 		2.95101 	7.83769 	2.08434 	10.3045
250 	4.15331		4.87559 	2.86694 	7.24083 	1.94772 	9.68499
300 	5.9754		4.61764 	2.93944 	7.25366 	1.94453 	10.6197
350 	2.55823		2.24238 	1.3628	 	3.52942 	0.929655 	4.94342
400 	1.40258		1.32925 	0.825404 	2.07629 	0.571878 	2.84185
450 	2.26491		1.91943 	1.14759 	3.04821 	0.795111 	4.06075
500 	3.13069		2.6026 		1.53072 	3.8544	 	0.960012 	5.36125
550 	2.94631		3.33612 	1.98536 	5.00416 	1.35977 	6.72216
600 	3.83999		5.09724 	3.10012 	7.53073 	2.10804 	10.842
