#Date           day/yr  lumi/day(1/pb)  cum (1/pb)
3/31/2012       91      0               0
4/1/2012        92      0               0
4/4/2012        95      3.79E-05        3.79E-05
4/5/2012        96      0.00522613      0.00526399
4/6/2012        97      0.0029548       0.00821879
4/7/2012        98      0.0142716       0.0224904
4/8/2012        99      0.0737498       0.0962402
4/9/2012        100     0.055328        0.151568
4/10/2012       101     0.0612741       0.212842
4/11/2012       102     0.0393111       0.252153
4/12/2012       103     0.0610064       0.31316
4/13/2012       104     0.0468353       0.359995
4/14/2012       105     0.177596        0.537591
4/15/2012       106     0.0985406       0.636131
4/16/2012       107     0.000548249     0.63668
4/17/2012       108     3.58E-05        0.636715
4/18/2012       109     0.0859203       0.722636
4/19/2012       110     0.0947627       0.817398
4/20/2012       111     0.13011         0.947508
5/1/2012        122     0.00120386      0.948712
5/2/2012        123     0.0377109       0.986423
5/3/2012        124     0.0534721       1.03989
5/4/2012        125     0.0105849       1.05048
5/6/2012        127     0.0428802       1.09336
5/7/2012        128     0.0796679       1.17303
5/8/2012        129     0.0565505       1.22958
5/10/2012       131     0.059402        1.28898
5/11/2012       132     0.0341645       1.32314
5/12/2012       133     0.123273        1.44642
5/13/2012       134     0.128676        1.57509
5/14/2012       135     0.15724         1.73233
5/15/2012       136     0.167701        1.90004
5/16/2012       137     0.0188959       1.91893
5/17/2012       138     0.101979        2.02091
5/18/2012       139     0.153784        2.17469
5/19/2012       140     0.197123        2.37182
5/20/2012       141     0.106055        2.47787
5/21/2012       142     0.110471        2.58834
5/22/2012       143     0.184004        2.77235
5/23/2012       144     0.121551        2.8939
5/24/2012       145     0.0546679       2.94857
5/25/2012       146     0.167966        3.11653
5/26/2012       147     0.137458        3.25399
5/27/2012       148     0.0190028       3.27299
5/28/2012       149     0.188902        3.46189
5/29/2012       150     0.0790875       3.54098
5/30/2012       151     0.10165         3.64263
5/31/2012       152     0.154241        3.79687
6/1/2012        153     0.159921        3.95679
6/2/2012        154     0.234394        4.19119
6/3/2012        155     0.0220244       4.21321
6/4/2012        156     0.0875334       4.30075
6/5/2012        157     0.198904        4.49965
6/6/2012        158     0.100438        4.60009
6/7/2012        159     0.206972        4.80706
6/8/2012        160     0.137609        4.94467
6/9/2012        161     0.179536        5.1242
6/10/2012       162     0.22395         5.34815
6/11/2012       163     0.0836896       5.43184
6/12/2012       164     0.187759        5.6196
6/13/2012       165     0.246377        5.86598
6/14/2012       166     0.110791        5.97677
6/15/2012       167     0.249121        6.22589
6/16/2012       168     0.251961        6.47785
6/17/2012       169     0.194927        6.67278
6/18/2012       170     0.0515744       6.72436
6/30/2012       182     2.35E-05        6.72438
7/1/2012        183     0.000682928     6.72506
7/2/2012        184     0.0455143       6.77058
7/3/2012        185     0.0459702       6.81655
7/4/2012        186     0.168498        6.98505
7/5/2012        187     0.115021        7.10007
7/6/2012        188     0.00794913      7.10802
7/7/2012        189     0.124958        7.23297
7/8/2012        190     0.0556218       7.28859
7/9/2012        191     2.45E-05        7.28862
7/10/2012       192     4.90E-05        7.28867
7/12/2012       194     3.86E-05        7.28871
7/13/2012       195     0.0290997       7.31781
7/14/2012       196     0.232018        7.54982
7/15/2012       197     0.140162        7.68999
7/16/2012       198     0.100108        7.79009
7/17/2012       199     5.24E-06        7.7901
7/18/2012       200     2.27E-05        7.79012
7/19/2012       201     0.00012137      7.79024
7/20/2012       202     0.18171         7.97195
7/21/2012       203     0.0474641       8.01942
7/22/2012       204     0.271105        8.29052
7/23/2012       205     0.134095        8.42462
7/24/2012       206     0.207649        8.63227
7/25/2012       207     0.059379        8.69165
7/26/2012       208     0.13017         8.82182
7/27/2012       209     0.173489        8.99531
7/28/2012       210     0.226399        9.2217
7/29/2012       211     0.151022        9.37273
7/30/2012       212     0.189414        9.56214
7/31/2012       213     0.155587        9.71773
8/1/2012        214     0.179024        9.89675
8/2/2012        215     0.111606        10.0084
8/3/2012        216     0.154602        10.163
8/4/2012        217     0.185401        10.3484
8/6/2012        219     0.0665877       10.4149
8/7/2012        220     0.0505384       10.4655
8/8/2012        221     0.234384        10.6999
8/9/2012        222     0.156031        10.8559
8/10/2012       223     0.0843263       10.9402
8/12/2012       225     0.0439752       10.9842
8/13/2012       226     0.110782        11.095
8/15/2012       228     0.106054        11.201
8/16/2012       229     0.116515        11.3176
8/17/2012       230     0.198494        11.516
8/18/2012       231     0.250043        11.7661
8/19/2012       232     0.0355643       11.8017
8/20/2012       233     0.119782        11.9214
8/21/2012       234     0.16355         12.085
8/22/2012       235     0.174079        12.2591
8/23/2012       236     0.15054         12.4096
8/24/2012       237     0.219406        12.629
8/25/2012       238     0.183803        12.8128
8/26/2012       239     0.178101        12.9909
8/27/2012       240     0.0396092       13.0305
8/28/2012       241     0.174697        13.2052
8/30/2012       243     0.0399161       13.2451
8/31/2012       244     0.201605        13.4467
9/1/2012        245     0.1621          13.6088
9/2/2012        246     0.239126        13.848
9/3/2012        247     0.0921006       13.9401
9/4/2012        248     0.116362        14.0564
9/5/2012        249     0.19796         14.2544
9/6/2012        250     0.180336        14.4347
9/7/2012        251     0.119777        14.5545
9/8/2012        252     0.0690949       14.6236
9/9/2012        253     0.212           14.8356
9/10/2012       254     0.0403992       14.876
9/12/2012       256     4.46E-10        14.876
9/13/2012       257     1.52E-09        14.876
9/14/2012       258     2.25E-08        14.876
9/15/2012       259     0.0851472       14.9611
9/16/2012       260     0.169558        15.1307
9/17/2012       261     0.0448413       15.1755
9/26/2012       270     0.0023628       15.1779
9/27/2012       271     0.00638965      15.1843
9/28/2012       272     0.0572112       15.2415
9/29/2012       273     0.0166958       15.2582
9/30/2012       274     0.248936        15.5071
10/1/2012       275     0.0387797       15.5459
10/2/2012       276     0.145026        15.6909
10/3/2012       277     0.127712        15.8187
10/4/2012       278     0.0877546       15.9064
10/5/2012       279     0.247514        16.1539
10/6/2012       280     0.291976        16.4459
10/7/2012       281     0.198816        16.6447
10/8/2012       282     0.00938192      16.6541
10/11/2012      285     1.40E-08        16.6541
10/12/2012      286     0.000123291     16.6542
10/13/2012      287     0.00072608      16.6549
10/14/2012      288     0.114827        16.7698
10/15/2012      289     0.144137        16.9139
10/16/2012      290     0.128236        17.0421
10/17/2012      291     0.267526        17.3097
10/18/2012      292     0.0629221       17.3726
10/19/2012      293     0.128891        17.5015
10/20/2012      294     0.211818        17.7133
10/21/2012      295     0.184468        17.8978
10/22/2012      296     0.175057        18.0728
10/23/2012      297     0.132873        18.2057
10/24/2012      298     0.0974912       18.3032
10/25/2012      299     0.0501096       18.3533
10/26/2012      300     0.0455854       18.3989
10/27/2012      301     0.236317        18.6352
10/28/2012      302     0.159354        18.7946
10/29/2012      303     0.131344        18.9259
10/30/2012      304     0.165663        19.0916
10/31/2012      305     0.124279        19.2158
11/1/2012       306     0.219384        19.4352
11/2/2012       307     0.181635        19.6169
11/3/2012       308     0.222548        19.8394
11/4/2012       309     0.0481767       19.8876
11/5/2012       310     0.241134        20.1287
11/6/2012       311     0.142594        20.2713
11/7/2012       312     0.179527        20.4508
11/8/2012       313     0.0722252       20.5231
11/9/2012       314     0.130208        20.6533
11/11/2012      316     0.0855586       20.7388
11/12/2012      317     0.0497908       20.7886
11/13/2012      318     0.158253        20.9469
